Time t,theta 1,theta 2,theta 3,omega 1,omega 2,omega 3
2.7,0,1.0472,-1.0472,0,5.23218e-016,-2.35448e-015
2.71,0,1.0472,-1.0472,0,5.25156e-016,-2.3632e-015
2.72,0,1.0472,-1.0472,0,5.27094e-016,-2.37192e-015
2.73,0,1.0472,-1.0472,0,5.29031e-016,-2.38064e-015
2.74,0,1.0472,-1.0472,0,5.30969e-016,-2.38936e-015
2.75,0,1.0472,-1.0472,0,5.32907e-016,-2.39808e-015
2.76,0,1.0472,-1.0472,0,5.34845e-016,-2.4068e-015
2.77,0,1.0472,-1.0472,0,5.36783e-016,-2.41552e-015
2.78,0,1.0472,-1.0472,0,5.38721e-016,-2.42424e-015
2.79,0,1.0472,-1.0472,0,5.40658e-016,-2.43296e-015
2.8,0,1.0472,-1.0472,0,5.42596e-016,-2.44168e-015
2.81,0,1.0472,-1.0472,0,5.44534e-016,-2.4504e-015
2.82,0,1.0472,-1.0472,0,5.46472e-016,-2.45912e-015
2.83,0,1.0472,-1.0472,0,5.4841e-016,-2.46784e-015
2.84,0,1.0472,-1.0472,0,5.50348e-016,-2.47656e-015
2.85,0,1.0472,-1.0472,0,5.52285e-016,-2.48528e-015
2.86,0,1.0472,-1.0472,0,5.54223e-016,-2.49401e-015
2.87,0,1.0472,-1.0472,0,5.56161e-016,-2.50273e-015
2.88,0,1.0472,-1.0472,0,5.58099e-016,-2.51145e-015
2.89,0,1.0472,-1.0472,0,5.60037e-016,-2.52017e-015
2.9,0,1.0472,-1.0472,0,5.61975e-016,-2.52889e-015
2.91,0,1.0472,-1.0472,0,5.63913e-016,-2.53761e-015
2.92,0,1.0472,-1.0472,0,5.6585e-016,-2.54633e-015
2.93,0,1.0472,-1.0472,0,5.67788e-016,-2.55505e-015
2.94,0,1.0472,-1.0472,0,5.69726e-016,-2.56377e-015
2.95,0,1.0472,-1.0472,0,5.71664e-016,-2.57249e-015
2.96,0,1.0472,-1.0472,0,5.73602e-016,-2.58121e-015
2.97,0,1.0472,-1.0472,0,5.7554e-016,-2.58993e-015
2.98,0,1.0472,-1.0472,0,5.77477e-016,-2.59865e-015
2.99,0,1.0472,-1.0472,0,5.79415e-016,-2.60737e-015
3,0,1.0472,-1.0472,0,5.81353e-016,-2.61609e-015
3.01,0,1.0472,-1.0472,0,5.83291e-016,-2.62481e-015
3.02,0,1.0472,-1.0472,0,5.85229e-016,-2.63353e-015
3.03,0,1.0472,-1.0472,0,5.87167e-016,-2.64225e-015
3.04,0,1.0472,-1.0472,0,5.89105e-016,-2.65097e-015
3.05,0,1.0472,-1.0472,0,5.91042e-016,-2.65969e-015
3.06,0,1.0472,-1.0472,0,5.9298e-016,-2.66841e-015
3.07,0,1.0472,-1.0472,0,5.94918e-016,-2.67713e-015
3.08,0,1.0472,-1.0472,0,5.96856e-016,-2.68585e-015
3.09,0,1.0472,-1.0472,0,5.98794e-016,-2.69457e-015
3.1,0,1.0472,-1.0472,0,6.00732e-016,-2.70329e-015
3.11,0,1.0472,-1.0472,0,6.02669e-016,-2.71201e-015
3.12,0,1.0472,-1.0472,0,6.04607e-016,-2.72073e-015
3.13,0,1.0472,-1.0472,0,6.06545e-016,-2.72945e-015
3.14,0,1.0472,-1.0472,0,6.08483e-016,-2.73817e-015
3.15,0,1.0472,-1.0472,0,6.10421e-016,-2.74689e-015
3.16,0,1.0472,-1.0472,0,6.12359e-016,-2.75561e-015
3.17,0,1.0472,-1.0472,0,6.14296e-016,-2.76433e-015
3.18,0,1.0472,-1.0472,0,6.16234e-016,-2.77305e-015
3.19,0,1.0472,-1.0472,0,6.18172e-016,-2.78177e-015
3.2,0,1.0472,-1.0472,0,6.2011e-016,-2.7905e-015
3.21,0,1.0472,-1.0472,0,6.22048e-016,-2.79922e-015
3.22,0,1.0472,-1.0472,0,6.23986e-016,-2.80794e-015
3.23,0,1.0472,-1.0472,0,6.25924e-016,-2.81666e-015
3.24,0,1.0472,-1.0472,0,6.27861e-016,-2.82538e-015
3.25,0,1.0472,-1.0472,0,6.29799e-016,-2.8341e-015
3.26,0,1.0472,-1.0472,0,6.31737e-016,-2.84282e-015
3.27,0,1.0472,-1.0472,0,6.33675e-016,-2.85154e-015
3.28,0,1.0472,-1.0472,0,6.35613e-016,-2.86026e-015
3.29,0,1.0472,-1.0472,0,6.37551e-016,-2.86898e-015
3.3,0,1.0472,-1.0472,0,6.39488e-016,-2.8777e-015
3.31,0,1.0472,-1.0472,0,6.41426e-016,-2.88642e-015
3.32,0,1.0472,-1.0472,0,6.43364e-016,-2.89514e-015
3.33,0,1.0472,-1.0472,0,6.45302e-016,-2.90386e-015
3.34,0,1.0472,-1.0472,0,6.4724e-016,-2.91258e-015
3.35,0,1.0472,-1.0472,0,6.49178e-016,-2.9213e-015
3.36,0,1.0472,-1.0472,0,6.51116e-016,-2.93002e-015
3.37,0,1.0472,-1.0472,0,6.53053e-016,-2.93874e-015
3.38,0,1.0472,-1.0472,0,6.54991e-016,-2.94746e-015
3.39,0,1.0472,-1.0472,0,6.56929e-016,-2.95618e-015
3.4,0,1.0472,-1.0472,0,6.58867e-016,-2.9649e-015
3.41,0,1.0472,-1.0472,0,6.60805e-016,-2.97362e-015
3.42,0,1.0472,-1.0472,0,6.62743e-016,-2.98234e-015
3.43,0,1.0472,-1.0472,0,6.6468e-016,-2.99106e-015
3.44,0,1.0472,-1.0472,0,6.66618e-016,-2.99978e-015
3.45,0,1.0472,-1.0472,0,6.68556e-016,-3.0085e-015
3.46,0,1.0472,-1.0472,0,6.70494e-016,-3.01722e-015
3.47,0,1.0472,-1.0472,0,6.72432e-016,-3.02594e-015
3.48,0,1.0472,-1.0472,0,6.7437e-016,-3.03466e-015
3.49,0,1.0472,-1.0472,0,6.76307e-016,-3.04338e-015
3.5,0,1.0472,-1.0472,0,6.78245e-016,-3.0521e-015
3.51,0,1.0472,-1.0472,0,6.80183e-016,-3.06082e-015
3.52,0,1.0472,-1.0472,0,6.82121e-016,-3.06954e-015
3.53,0,1.0472,-1.0472,0,6.84059e-016,-3.07826e-015
3.54,0,1.0472,-1.0472,0,6.85997e-016,-3.08699e-015
3.55,0,1.0472,-1.0472,0,6.87935e-016,-3.09571e-015
3.56,0,1.0472,-1.0472,0,6.89872e-016,-3.10443e-015
3.57,0,1.0472,-1.0472,0,6.9181e-016,-3.11315e-015
3.58,0,1.0472,-1.0472,0,6.93748e-016,-3.12187e-015
3.59,0,1.0472,-1.0472,0,6.95686e-016,-3.13059e-015
3.6,0,1.0472,-1.0472,0,6.97624e-016,-3.13931e-015
3.61,0,1.0472,-1.0472,0,6.99562e-016,-3.14803e-015
3.62,0,1.0472,-1.0472,0,7.01499e-016,-3.15675e-015
3.63,0,1.0472,-1.0472,0,7.03437e-016,-3.16547e-015
3.64,0,1.0472,-1.0472,0,7.05375e-016,-3.17419e-015
3.65,0,1.0472,-1.0472,0,7.07313e-016,-3.18291e-015
3.66,0,1.0472,-1.0472,0,7.09251e-016,-3.19163e-015
3.67,0,1.0472,-1.0472,0,7.11189e-016,-3.20035e-015
3.68,0,1.0472,-1.0472,0,7.13127e-016,-3.20907e-015
3.69,0,1.0472,-1.0472,0,7.15064e-016,-3.21779e-015
3.7,0,1.0472,-1.0472,0,7.17002e-016,-3.22651e-015
3.71,0,1.0472,-1.0472,0,7.1894e-016,-3.23523e-015
3.72,0,1.0472,-1.0472,0,7.20878e-016,-3.24395e-015
3.73,0,1.0472,-1.0472,0,7.22816e-016,-3.25267e-015
3.74,0,1.0472,-1.0472,0,7.24754e-016,-3.26139e-015
3.75,0,1.0472,-1.0472,0,7.26691e-016,-3.27011e-015
3.76,0,1.0472,-1.0472,0,7.28629e-016,-3.27883e-015
3.77,0,1.0472,-1.0472,0,7.30567e-016,-3.28755e-015
3.78,0,1.0472,-1.0472,0,7.32505e-016,-3.29627e-015
3.79,0,1.0472,-1.0472,0,7.34443e-016,-3.30499e-015
3.8,0,1.0472,-1.0472,0,7.36381e-016,-3.31371e-015
3.81,0,1.0472,-1.0472,0,7.38318e-016,-3.32243e-015
3.82,0,1.0472,-1.0472,0,7.40256e-016,-3.33115e-015
3.83,0,1.0472,-1.0472,0,7.42194e-016,-3.33987e-015
